[(0,"NAME"),(0,"OCCUPATION"),(0,"COUNTRY"),(0,"EST_IQ_SCORE")]
[(105,"Sofia Kovalevskaya"),(105,"scientist"),(105,"Russia"),(105,"170")]
[(106,"Stephen W Hawking"),(106,"scientist"),(106,"England"),(106,"160")]
[(107,"Thomas Chatterton"),(107,"writer"),(107,"England"),(107,"180")]
[(108,"Thomas Jefferson"),(108,"politician"),(108,"USA"),(108,"138")]
[(109,"Thomas Wolsey"),(109,"politician"),(109,"England"),(109,"200")]
[(110,"Truman Cloak"),(110,""),(110,""),(110,"165")]
[(111,"Ulysses S Grant"),(111,"politician"),(111,"USA"),(111,"110")]
[(112,"Voltaire"),(112,"philosopher"),(112,"France"),(112,"190")]
[(113,"William James Sidis"),(113,""),(113,"USA"),(113,"200")]
[(114,"William Pitt"),(114,"politician"),(114,"England"),(114,"190")]
[(115,"Wolfgang Amadeus Mozart"),(115,"composer"),(115,"Austria"),(115,"165")]
